Date,Product,Units_Sold,Revenue
2022-12-26,Tablet,12,238.0
2022-01-02,Laptop,12,1265.84
2022-02-23,Monitor,13,1219.74
2022-04-16,Tablet,11,1240.01
2022-09-17,Printer,7,937.0
2022-11-06,Printer,7,595.19
2022-07-10,Monitor,9,1438.18
2022-08-06,Printer,7,1680.48
2022-02-13,Printer,14,516.51
2022-06-11,Tablet,3,542.77
2022-07-21,Printer,10,1462.76
2022-09-27,Tablet,12,1168.28
2022-12-17,Laptop,6,1096.09
2022-10-31,Smartphone,3,356.55
2022-09-28,Tablet,18,1268.87
2022-08-03,Smartphone,15,376.64
2022-09-09,Tablet,18,1672.97
2022-07-09,Tablet,16,794.27
2022-10-23,Monitor,19,903.3
2022-08-01,Tablet,16,689.24
2022-07-27,Printer,8,907.21
2022-08-25,Printer,14,370.0
2022-12-04,Tablet,18,169.2
2022-02-22,Laptop,8,142.69
2022-10-07,Printer,7,117.31
2022-08-05,Smartphone,2,1682.79
2022-09-09,Laptop,17,1111.55
2022-07-07,Smartphone,15,1443.23
2022-02-10,Tablet,18,1217.88
2022-06-06,Tablet,12,1477.22
2022-01-15,Tablet,14,848.76
2022-10-28,Printer,7,215.81
2022-03-06,Laptop,19,425.45
2022-12-11,Smartphone,19,1287.58
2022-11-23,Monitor,6,346.54
2022-01-09,Laptop,15,845.56
2022-12-10,Smartphone,6,564.39
2022-05-09,Monitor,4,590.9
2022-05-16,Laptop,4,1787.24
2022-03-04,Laptop,16,1973.28
2022-05-19,Tablet,2,506.37
2022-03-22,Laptop,17,690.11
2022-06-12,Smartphone,1,896.65
2022-10-16,Tablet,19,622.77
2022-09-18,Laptop,10,1260.15
2022-08-19,Tablet,7,1273.68
2022-02-10,Monitor,17,1473.7
2022-01-28,Smartphone,2,114.04
2022-05-15,Monitor,1,769.18
2022-07-20,Smartphone,7,150.22
2022-11-24,Printer,12,1165.43
2022-09-25,Monitor,18,476.0
2022-02-02,Printer,15,1610.5
2022-02-17,Tablet,3,956.29
2022-03-03,Monitor,15,496.96
2022-08-04,Laptop,10,209.24
2022-10-20,Smartphone,11,834.67
2022-04-09,Laptop,17,797.64
2022-06-21,Laptop,2,1112.22
2022-12-26,Tablet,10,535.78
2022-08-02,Tablet,3,724.74
2022-02-04,Laptop,8,990.82
2022-08-15,Laptop,7,634.79
2022-04-11,Laptop,5,1425.89
2022-05-11,Smartphone,9,1201.43
2022-09-14,Tablet,10,1887.64
2022-01-05,Monitor,8,547.55
2022-08-06,Tablet,15,1147.23
2022-09-12,Laptop,19,1469.96
2022-12-25,Monitor,10,1008.74
2022-10-10,Monitor,13,1909.99
2022-07-26,Monitor,18,907.71
2022-01-15,Tablet,12,539.98
2022-12-12,Laptop,11,1000.27
2022-02-11,Laptop,14,982.74
2022-06-28,Printer,13,1685.17
2022-03-04,Smartphone,7,1632.48
2022-12-18,Tablet,19,1381.65
2022-08-19,Printer,2,519.34
2022-08-29,Printer,5,1844.72
2022-02-21,Printer,1,247.02
2022-04-06,Tablet,15,762.07
2022-08-10,Smartphone,17,982.75
2022-08-19,Monitor,6,1014.97
2022-08-25,Smartphone,9,1983.29
2022-05-23,Smartphone,12,1491.11
2022-06-20,Laptop,7,1559.89
2022-01-29,Printer,11,1083.16
2022-02-05,Printer,8,866.51
2022-01-13,Monitor,4,1949.4
2022-06-09,Laptop,19,152.08
2022-11-23,Monitor,16,1222.52
2022-07-06,Tablet,7,402.55
2022-08-31,Laptop,17,536.25
2022-03-27,Printer,12,1846.21
2022-10-11,Monitor,12,1949.33
2022-03-07,Laptop,18,1907.24
2022-06-19,Laptop,19,235.13
2022-02-14,Smartphone,4,1749.62
2022-03-03,Laptop,18,1417.33
2022-05-14,Laptop,16,471.3
2022-10-11,Printer,18,309.23
2022-01-28,Tablet,6,236.36
2022-04-18,Monitor,19,1860.32
2022-02-13,Tablet,7,135.06
2022-12-06,Laptop,5,992.64
2022-10-13,Printer,1,1444.8
2022-11-27,Printer,7,1820.35
2022-05-08,Printer,9,1131.99
2022-12-14,Printer,19,1514.27
2022-08-19,Smartphone,13,452.4
2022-07-09,Laptop,18,1713.74
2022-08-13,Smartphone,7,1108.15
2022-10-10,Smartphone,10,1062.34
2022-05-01,Laptop,18,1818.13
2022-04-26,Printer,18,293.11
2022-08-21,Monitor,8,1547.93
2022-09-16,Printer,7,1997.32
2022-12-25,Printer,5,1224.5
2022-07-17,Smartphone,2,1639.45
2022-05-17,Tablet,9,995.52
2022-11-14,Printer,4,773.36
2022-06-14,Laptop,10,1500.37
2022-08-13,Laptop,8,729.94
2022-11-03,Laptop,3,1511.41
2022-08-22,Smartphone,5,182.0
2022-06-21,Monitor,7,328.26
2022-06-01,Monitor,7,1619.41
2022-11-11,Monitor,12,940.21
2022-06-09,Printer,7,639.59
2022-04-06,Printer,13,1326.05
2022-08-21,Tablet,8,1026.78
2022-06-29,Tablet,12,1929.77
2022-04-23,Tablet,10,1703.58
2022-11-14,Smartphone,15,1991.05
2022-02-21,Monitor,10,1361.01
2022-09-25,Printer,16,1511.73
2022-10-22,Tablet,6,1822.59
2022-04-23,Smartphone,8,1931.79
2022-04-11,Tablet,9,308.03
2022-04-23,Printer,1,1969.65
2022-03-22,Tablet,7,815.87
2022-07-06,Smartphone,9,1744.26
2022-04-23,Smartphone,1,448.27
2022-01-02,Tablet,5,1540.95
2022-05-10,Printer,7,429.33
2022-08-08,Smartphone,6,720.23
2022-02-23,Monitor,14,1692.32
2022-12-09,Smartphone,17,707.16
2022-08-12,Laptop,1,1602.32
2022-08-13,Tablet,7,1335.72
2022-05-06,Monitor,19,634.8
2022-05-10,Printer,6,1064.87
2022-02-22,Monitor,15,279.72
2022-06-21,Smartphone,12,1965.54
2022-08-06,Smartphone,16,1503.41
2022-06-09,Laptop,7,1122.47
2022-07-17,Monitor,16,1731.79
2022-09-04,Smartphone,4,1296.07
2022-11-20,Printer,5,677.34
2022-07-22,Printer,6,1580.13
2022-07-03,Monitor,8,1487.06
2022-05-03,Monitor,8,340.95
2022-09-12,Laptop,15,553.21
2022-10-21,Monitor,19,1375.0
2022-10-07,Printer,1,1789.52
2022-11-21,Monitor,1,776.69
2022-04-08,Smartphone,7,257.34
2022-07-17,Smartphone,1,395.15
2022-08-28,Monitor,18,958.76
2022-05-24,Tablet,10,423.33
2022-04-07,Monitor,19,1206.3
2022-07-20,Laptop,13,716.93
2022-05-04,Printer,15,189.09
2022-07-06,Printer,3,631.25
2022-11-22,Monitor,4,979.09
2022-12-15,Tablet,11,535.53
2022-09-16,Printer,18,628.47
2022-05-28,Tablet,18,1612.23
2022-09-09,Printer,12,1259.88
2022-12-12,Smartphone,13,965.76
2022-05-27,Laptop,19,601.54
2022-05-28,Printer,12,161.78
2022-12-18,Monitor,19,444.84
2022-07-18,Smartphone,7,309.92
2022-11-04,Tablet,3,635.48
2022-05-08,Laptop,9,106.69
2022-02-08,Tablet,18,1538.75
2022-12-04,Tablet,3,924.12
2022-12-26,Printer,4,1077.64
2022-05-09,Smartphone,18,1427.72
2022-09-24,Laptop,13,731.31
2022-05-31,Smartphone,10,553.49
2022-10-25,Smartphone,10,842.04
2022-04-09,Printer,14,1040.37
2022-09-20,Tablet,7,826.5
2022-09-09,Smartphone,13,1947.14
2022-05-24,Tablet,10,1695.73
2022-12-12,Smartphone,18,1316.54
2022-04-22,Laptop,1,107.74
2022-03-01,Monitor,9,1500.14
2022-01-02,Monitor,6,1120.46
2022-10-31,Monitor,11,1650.12
2022-09-11,Printer,10,406.33
2022-05-20,Printer,13,1985.31
2022-02-06,Tablet,9,517.96
2022-06-09,Printer,8,943.92
2022-01-09,Monitor,18,1890.12
2022-08-21,Printer,19,306.08
2022-04-09,Monitor,5,1668.78
2022-05-27,Smartphone,15,691.98
2022-10-31,Monitor,9,1960.53
2022-07-27,Monitor,2,1722.28
2022-05-11,Laptop,11,668.17
2022-06-01,Laptop,16,197.6
2022-02-23,Laptop,7,1560.91
2022-04-30,Laptop,4,1845.68
2022-06-10,Monitor,18,1346.5
2022-04-26,Tablet,12,1622.91
2022-03-16,Laptop,8,409.85
2022-04-23,Printer,12,281.88
2022-04-14,Printer,13,1848.18
2022-12-06,Printer,12,690.79
2022-09-11,Monitor,18,789.52
2022-08-15,Smartphone,18,1019.79
2022-04-22,Smartphone,6,968.99
2022-04-09,Laptop,17,958.19
2022-06-02,Printer,3,1004.36
2022-12-15,Laptop,4,740.78
2022-12-04,Monitor,15,1571.35
2022-07-13,Printer,17,1843.34
2022-11-06,Laptop,4,1023.36
2022-06-12,Tablet,7,839.4
2022-07-27,Monitor,15,1744.11
2022-06-18,Monitor,18,355.6
2022-06-10,Monitor,5,171.6
2022-03-09,Tablet,11,913.44
2022-10-16,Smartphone,12,1113.13
2022-10-04,Smartphone,13,981.01
2022-10-31,Tablet,16,423.21
2022-05-15,Smartphone,6,1873.17
2022-07-14,Tablet,19,1841.57
2022-05-08,Laptop,7,1075.99
2022-02-02,Tablet,6,563.32
2022-06-25,Smartphone,18,1147.91
2022-01-22,Tablet,1,1694.09
2022-08-26,Tablet,7,253.36
2022-06-07,Printer,11,1875.82
2022-02-07,Tablet,9,1872.57
2022-08-18,Smartphone,2,407.32
2022-12-31,Monitor,5,1703.76
2022-02-20,Laptop,8,623.87
2022-09-21,Tablet,6,1902.24
2022-10-10,Smartphone,6,1629.61
2022-01-27,Smartphone,6,1273.89
2022-08-14,Printer,4,475.35
2022-10-04,Smartphone,11,1300.7
2022-10-13,Monitor,18,396.61
2022-04-07,Smartphone,9,794.08
2022-10-11,Monitor,15,285.12
2022-11-13,Laptop,9,632.4
2022-10-31,Tablet,19,394.75
2022-05-27,Laptop,13,1090.93
2022-01-04,Tablet,3,1374.29
2022-02-04,Laptop,14,420.04
2022-07-11,Monitor,5,1309.78
2022-02-18,Tablet,12,1287.99
2022-01-17,Tablet,8,190.39
2022-06-21,Laptop,16,1385.12
2022-08-08,Printer,10,699.27
2022-06-07,Printer,17,127.34
2022-02-15,Laptop,1,1014.44
2022-01-06,Smartphone,16,789.46
2022-04-09,Laptop,14,1601.16
2022-08-21,Monitor,13,1176.26
2022-02-06,Monitor,17,472.64
2022-10-07,Smartphone,18,1380.8
2022-12-15,Printer,11,1551.06
2022-10-29,Monitor,12,1351.9
2022-06-30,Monitor,7,687.01
2022-04-05,Tablet,11,462.8
2022-04-09,Tablet,9,1308.56
2022-07-07,Smartphone,6,1341.6
2022-04-26,Monitor,19,474.28
2022-07-10,Laptop,17,1419.33
2022-09-10,Printer,15,1658.37
2022-06-10,Smartphone,4,697.46
2022-09-13,Laptop,19,1890.92
2022-11-19,Laptop,15,1852.83
2022-05-08,Smartphone,3,1557.57
2022-01-18,Smartphone,2,940.16
2022-10-08,Monitor,10,1316.42
2022-08-11,Printer,14,1387.98
2022-02-23,Monitor,18,207.13
2022-02-27,Laptop,19,777.32
2022-11-19,Monitor,13,476.26
2022-12-26,Monitor,11,999.64
2022-06-23,Printer,19,1617.47
2022-10-07,Tablet,1,422.38
2022-04-24,Printer,19,255.72
2022-10-15,Monitor,18,1988.84
2022-12-08,Tablet,6,1753.74
2022-05-31,Laptop,8,1095.68
2022-05-07,Printer,8,1171.06
2022-06-04,Smartphone,16,1411.62
2022-09-30,Laptop,12,649.36
2022-04-14,Tablet,2,1309.28
2022-10-26,Laptop,18,1644.32
2022-09-03,Smartphone,16,1022.43
2022-06-25,Smartphone,13,1154.5
2022-02-08,Printer,7,722.75
2022-06-19,Printer,16,1879.74
2022-09-04,Monitor,5,779.35
2022-01-26,Monitor,17,1218.78
2022-12-21,Laptop,17,976.41
2022-11-02,Smartphone,4,163.28
2022-01-13,Laptop,14,174.74
2022-11-12,Tablet,2,1947.8
2022-11-09,Tablet,17,1401.93
2022-02-05,Monitor,3,1663.45
2022-06-22,Laptop,14,1609.0
2022-01-20,Tablet,16,153.76
2022-11-17,Monitor,8,554.64
2022-09-21,Laptop,18,1457.4
2022-05-22,Smartphone,17,1655.02
2022-05-23,Tablet,17,1589.28
2022-04-02,Tablet,4,801.88
2022-12-20,Smartphone,18,1466.41
2022-11-18,Monitor,12,950.82
2022-10-15,Tablet,2,1843.31
2022-08-03,Smartphone,18,1263.09
2022-12-08,Monitor,1,720.86
2022-02-20,Printer,3,302.06
2022-06-02,Monitor,18,1300.76
2022-07-05,Tablet,3,1400.28
2022-03-04,Monitor,15,1831.94
2022-07-09,Tablet,12,779.89
2022-05-05,Monitor,1,1389.1
2022-05-30,Printer,13,136.07
2022-11-10,Monitor,7,292.78
2022-02-27,Printer,13,354.36
2022-12-08,Tablet,5,839.2
2022-11-01,Monitor,3,1722.6
2022-06-29,Smartphone,15,462.8
2022-06-19,Printer,1,741.1
2022-11-22,Laptop,5,1683.6
2022-09-28,Printer,17,1538.33
2022-02-23,Monitor,4,1630.2
2022-04-11,Printer,19,1871.95
2022-09-21,Monitor,3,1140.41
2022-02-22,Tablet,11,778.52
2022-03-01,Tablet,4,975.47
2022-04-18,Smartphone,9,1916.79
2022-01-05,Laptop,16,672.94
2022-04-13,Tablet,3,1505.71
2022-07-15,Smartphone,7,1083.79
2022-09-19,Laptop,12,432.34
2022-12-31,Smartphone,7,1606.79
2022-12-16,Tablet,19,1462.41
2022-02-16,Laptop,11,1729.9
2022-12-21,Tablet,9,1620.26
2022-11-07,Monitor,15,1683.26
2022-11-04,Laptop,3,715.59
2022-05-24,Smartphone,6,512.91
2022-09-26,Monitor,10,266.69
2022-05-04,Smartphone,19,1017.85
2022-04-16,Tablet,10,785.74
2022-06-07,Tablet,9,1264.69
2022-05-27,Monitor,14,153.22
2022-05-25,Monitor,9,773.35
2022-04-30,Laptop,5,753.58
2022-11-15,Smartphone,15,1762.67
2022-10-02,Printer,19,823.31
2022-04-02,Tablet,15,142.09
2022-02-27,Printer,16,564.77
2022-12-12,Printer,18,420.61
2022-08-17,Monitor,18,1429.95
2022-04-27,Smartphone,14,913.57
2022-11-14,Printer,19,355.79
2022-10-06,Smartphone,13,589.61
2022-05-07,Monitor,1,164.22
2022-05-09,Printer,5,565.8
2022-02-27,Printer,4,105.29
2022-05-02,Tablet,13,1145.32
2022-01-01,Printer,15,1818.6
2022-08-27,Laptop,8,105.78
2022-10-17,Monitor,12,1477.22
2022-04-06,Laptop,19,1004.95
2022-05-06,Printer,12,1278.76
2022-04-28,Printer,13,1523.19
2022-02-17,Laptop,12,757.3
2022-03-30,Tablet,6,846.54
2022-08-25,Tablet,9,1162.2
2022-09-29,Laptop,18,622.93
2022-07-08,Laptop,12,596.28
2022-07-11,Monitor,18,837.94
2022-03-10,Tablet,6,359.5
2022-10-05,Smartphone,3,840.42
2022-12-15,Printer,13,1563.43
2022-09-04,Printer,6,216.89
2022-03-17,Laptop,12,1774.13
2022-06-03,Smartphone,7,1175.28
2022-05-24,Tablet,4,1458.8
2022-03-27,Tablet,12,966.55
2022-07-04,Tablet,7,1745.47
2022-10-12,Laptop,11,1205.15
2022-08-08,Laptop,12,1504.82
2022-03-10,Printer,9,1659.72
2022-02-16,Printer,19,865.81
2022-04-04,Tablet,19,1744.8
2022-08-26,Printer,1,1116.49
2022-07-23,Printer,13,644.26
2022-08-06,Tablet,12,776.45
2022-12-07,Laptop,3,1685.99
2022-02-08,Printer,10,838.53
2022-04-10,Laptop,14,1076.74
2022-10-16,Smartphone,9,545.98
2022-09-11,Laptop,13,1514.32
2022-08-10,Monitor,12,1178.99
2022-12-23,Monitor,18,743.09
2022-01-23,Tablet,13,1822.72
2022-09-07,Monitor,1,553.98
2022-01-10,Smartphone,17,1960.79
2022-09-03,Laptop,19,1600.34
2022-11-21,Laptop,9,1705.86
2022-04-10,Printer,13,1325.66
2022-10-17,Printer,17,1953.63
2022-06-29,Printer,17,687.29
2022-08-11,Laptop,9,577.61
2022-09-07,Laptop,12,1737.38
2022-05-27,Printer,8,1738.74
2022-04-06,Laptop,9,1358.08
2022-09-14,Smartphone,7,1020.78
2022-11-21,Printer,15,892.15
2022-01-04,Monitor,2,122.65
2022-01-16,Printer,3,1465.4
2022-10-07,Monitor,4,1993.63
2022-12-02,Tablet,9,1507.65
2022-09-04,Monitor,19,600.2
2022-09-15,Smartphone,8,840.37
2022-06-09,Laptop,14,1149.46
2022-12-06,Smartphone,5,1183.7
2022-06-01,Tablet,6,799.11
2022-06-27,Smartphone,9,916.58
2022-06-12,Smartphone,3,1379.69
2022-02-02,Tablet,1,467.17
2022-06-28,Smartphone,13,1926.19
2022-04-11,Tablet,4,538.79
2022-09-25,Laptop,19,1574.91
2022-11-19,Printer,4,976.13
2022-03-06,Laptop,5,711.83
2022-06-17,Laptop,3,1242.25
2022-11-26,Laptop,15,926.6
2022-02-12,Smartphone,18,1177.65
2022-02-13,Laptop,1,243.56
2022-10-12,Tablet,2,543.03
2022-01-12,Tablet,8,1807.05
2022-04-05,Tablet,9,187.73
2022-10-29,Tablet,3,877.19
2022-09-10,Laptop,11,1242.16
2022-08-30,Monitor,19,888.01
2022-02-04,Printer,13,467.08
2022-08-03,Monitor,7,828.4
2022-12-03,Smartphone,13,195.77
2022-03-31,Laptop,11,700.41
2022-09-21,Monitor,3,834.9
2022-04-03,Laptop,3,1458.25
2022-03-31,Tablet,16,1625.92
2022-04-25,Smartphone,18,1272.57
2022-04-15,Monitor,13,935.82
2022-07-15,Printer,2,267.58
2022-11-10,Tablet,12,648.23
2022-04-24,Tablet,11,439.74
2022-03-16,Smartphone,18,1772.66
2022-08-05,Tablet,2,1951.36
2022-10-04,Tablet,7,890.53
2022-09-06,Monitor,18,455.2
2022-06-13,Tablet,15,278.92
2022-12-23,Smartphone,11,1028.15
2022-07-11,Laptop,6,356.68
2022-08-15,Smartphone,14,152.55
2022-06-26,Smartphone,10,1862.62
2022-04-09,Laptop,9,932.17
2022-02-05,Monitor,16,1421.8
2022-04-06,Printer,19,1703.02
2022-06-01,Printer,1,662.65
2022-05-31,Smartphone,6,933.71
2022-07-09,Monitor,8,224.03
2022-08-12,Monitor,15,1806.96
2022-02-06,Monitor,17,345.43
2022-09-25,Monitor,6,201.28
2022-07-02,Smartphone,4,1148.02
2022-01-13,Tablet,8,1452.03
2022-10-06,Printer,13,439.86
2022-08-05,Printer,8,898.97
2022-12-21,Laptop,3,1412.96
2022-12-27,Smartphone,5,1111.09
2022-10-13,Printer,1,1536.09
2022-09-30,Smartphone,13,714.87
2022-03-03,Smartphone,10,679.61
2022-03-25,Monitor,3,1657.79
2022-08-05,Laptop,1,1037.76
2022-12-08,Smartphone,18,442.67
2022-07-06,Printer,16,244.88
2022-01-19,Printer,14,1811.99
2022-06-26,Laptop,3,1611.18
2022-04-10,Smartphone,8,166.52
2022-08-21,Monitor,6,1758.58
2022-03-17,Laptop,1,1780.91
2022-09-22,Smartphone,1,1642.41
2022-10-11,Laptop,2,1470.59
2022-07-25,Monitor,6,1241.96
2022-08-11,Tablet,8,838.58
2022-02-21,Tablet,1,1031.41
2022-12-05,Tablet,12,1876.55
2022-05-24,Monitor,5,1447.52
2022-03-10,Monitor,4,1704.36
2022-04-09,Laptop,5,534.94
2022-01-25,Printer,2,1548.55
2022-02-22,Monitor,1,1115.62
2022-05-31,Monitor,3,283.05
2022-05-24,Tablet,10,283.37
2022-02-26,Tablet,15,310.06
2022-02-08,Tablet,6,430.03
2022-04-19,Printer,19,919.68
2022-06-30,Tablet,15,1561.84
2022-02-11,Tablet,6,1765.33
2022-07-05,Printer,17,1824.24
2022-08-11,Tablet,11,265.6
2022-05-02,Laptop,19,1417.13
2022-05-13,Laptop,15,666.53
2022-06-12,Smartphone,10,1073.75
2022-08-03,Laptop,16,1301.81
2022-08-09,Printer,19,984.17
2022-08-23,Tablet,18,643.79
2022-11-27,Smartphone,1,297.29
2022-05-26,Monitor,2,823.68
2022-08-27,Monitor,2,1849.76
2022-03-17,Laptop,5,295.44
2022-01-09,Smartphone,2,678.84
2022-03-15,Monitor,9,1238.18
2022-09-10,Monitor,17,1046.39
2022-08-18,Monitor,7,720.65
2022-01-07,Laptop,14,1865.19
2022-06-23,Laptop,7,1406.24
2022-05-21,Smartphone,9,325.97
2022-06-17,Laptop,14,490.6
2022-06-19,Laptop,10,547.48
2022-10-10,Printer,17,1829.32
2022-05-02,Laptop,16,1774.95
2022-07-13,Smartphone,8,1362.16
2022-01-05,Laptop,1,1755.01
2022-01-29,Laptop,2,1824.61
2022-06-14,Printer,19,1448.07
2022-12-05,Smartphone,15,1091.83
2022-05-16,Monitor,17,1118.63
2022-12-31,Printer,18,512.32
2022-11-17,Laptop,4,389.72
2022-12-08,Tablet,14,1252.12
2022-05-25,Printer,6,1146.53
2022-11-23,Printer,11,854.34
2022-08-05,Smartphone,15,438.35
2022-10-28,Monitor,5,1239.26
2022-05-12,Monitor,4,1864.17
2022-10-19,Monitor,7,1072.55
2022-03-11,Printer,7,996.35
2022-09-09,Tablet,8,473.03
2022-10-02,Smartphone,3,1000.88
2022-12-30,Tablet,3,567.16
2022-07-01,Monitor,5,1795.71
2022-06-16,Printer,4,1172.87
2022-04-01,Monitor,18,848.02
2022-07-21,Tablet,11,1945.7
2022-12-12,Monitor,4,1947.17
2022-01-19,Laptop,4,1856.72
2022-02-08,Smartphone,12,1503.96
2022-05-06,Tablet,18,424.84
2022-06-22,Laptop,9,1960.31
2022-05-21,Monitor,13,543.62
2022-08-30,Smartphone,15,198.06
2022-08-08,Smartphone,11,1828.35
2022-05-06,Smartphone,9,1123.88
2022-02-27,Printer,18,588.92
2022-05-28,Smartphone,10,1734.79
2022-11-13,Laptop,6,274.74
2022-12-27,Tablet,4,1537.12
2022-01-01,Laptop,6,595.45
2022-12-14,Monitor,9,611.12
2022-07-09,Printer,10,1483.49
2022-07-10,Printer,18,1222.5
2022-11-08,Monitor,7,449.06
2022-04-27,Tablet,15,1955.63
2022-05-14,Printer,11,745.57
2022-02-27,Monitor,11,1082.11
2022-02-13,Monitor,10,240.21
2022-06-22,Monitor,5,1763.4
2022-06-09,Monitor,19,1230.43
2022-06-22,Smartphone,13,1815.76
2022-11-13,Tablet,15,249.76
2022-10-30,Monitor,9,1047.0
2022-05-29,Smartphone,8,1828.53
2022-03-21,Smartphone,19,1171.0
2022-08-01,Laptop,11,380.18
2022-07-22,Monitor,2,190.43
2022-09-09,Smartphone,14,1236.92
2022-08-17,Laptop,12,1059.54
2022-06-13,Laptop,17,671.08
2022-08-15,Monitor,10,679.13
2022-05-27,Printer,12,1998.05
2022-01-20,Smartphone,7,1899.77
2022-02-16,Printer,11,1116.94
2022-08-21,Laptop,18,313.06
2022-11-01,Printer,5,1365.68
2022-01-14,Printer,4,1573.86
2022-05-23,Monitor,13,852.25
2022-01-01,Laptop,14,797.79
2022-02-23,Tablet,6,156.8
2022-09-16,Smartphone,17,1746.24
2022-05-24,Monitor,4,651.35
2022-01-12,Monitor,10,1728.58
2022-11-26,Tablet,5,1888.88
2022-08-12,Monitor,11,914.78
2022-09-29,Laptop,16,472.25
2022-12-24,Monitor,15,1061.92
2022-06-05,Monitor,19,1208.06
2022-01-08,Tablet,10,313.3
2022-05-02,Smartphone,9,1369.01
2022-12-14,Smartphone,11,1812.8
2022-06-13,Printer,4,1619.29
2022-03-31,Laptop,1,1833.69
2022-05-16,Tablet,16,1017.25
2022-07-05,Smartphone,18,1383.21
2022-11-12,Tablet,2,1065.72
2022-06-27,Printer,6,314.97
2022-01-28,Smartphone,1,938.17
2022-08-08,Tablet,19,528.51
2022-12-23,Laptop,3,1444.16
2022-02-10,Laptop,4,982.37
2022-08-16,Printer,1,517.63
2022-07-11,Smartphone,4,767.09
2022-05-25,Smartphone,6,1271.84
2022-07-20,Laptop,7,1198.42
2022-07-31,Printer,9,141.66
2022-08-08,Monitor,6,544.73
2022-08-28,Laptop,8,1715.86
2022-02-15,Laptop,11,1590.57
2022-02-04,Tablet,5,954.7
2022-09-10,Printer,12,380.33
2022-03-23,Monitor,15,1976.03
2022-09-13,Printer,1,1627.78
2022-07-16,Printer,2,1275.93
2022-10-30,Laptop,18,732.77
2022-01-10,Laptop,6,1380.3
2022-11-08,Laptop,7,1034.99
2022-10-13,Tablet,6,1049.2
2022-08-30,Monitor,12,1283.53
2022-09-08,Monitor,18,1235.66
2022-12-31,Printer,18,1125.88
2022-01-05,Laptop,12,1141.79
2022-04-29,Printer,8,1981.11
2022-10-16,Laptop,17,1693.04
2022-03-06,Printer,17,1668.74
2022-05-26,Printer,4,303.11
2022-08-12,Tablet,17,1955.93
2022-08-27,Tablet,13,1595.64
2022-06-26,Printer,3,979.96
2022-09-24,Laptop,10,545.0
2022-12-07,Printer,18,974.84
2022-10-09,Laptop,12,286.27
2022-03-04,Smartphone,14,956.95
2022-08-05,Monitor,1,1031.73
2022-12-08,Printer,10,444.42
2022-11-11,Smartphone,17,1954.59
2022-10-10,Printer,13,1497.16
2022-06-26,Tablet,4,409.17
2022-04-08,Monitor,8,899.22
2022-04-15,Printer,8,737.32
2022-04-09,Tablet,4,488.38
2022-11-07,Tablet,15,1146.51
2022-01-06,Smartphone,2,682.79
2022-07-16,Tablet,16,1527.41
2022-12-17,Smartphone,1,1332.78
2022-05-13,Laptop,8,1328.18
2022-12-24,Laptop,18,1962.56
2022-09-16,Laptop,18,1179.56
2022-01-23,Laptop,18,1376.14
2022-02-22,Printer,15,1798.86
2022-06-14,Smartphone,15,1153.27
2022-07-21,Laptop,4,1328.48
2022-03-24,Tablet,6,1882.68
2022-05-25,Smartphone,9,585.78
